author,pdf_link,title
,/science/article/pii/S0923753419331278/pdfft?md5=c32b70f1827c871caa15b4569905946e&pid=1-s2.0-S0923753419331278-main.pdf,Editorial board
,/science/article/pii/S092375341933128X/pdfft?md5=afa076f224a905c8056de8e3b846022e&pid=1-s2.0-S092375341933128X-main.pdf,Table of Contents
Yoichi Nakanishi,/science/article/pii/S0923753419331217/pdfft?md5=2853cc9df54ba98bfe2dc6fef2d99e02&pid=1-s2.0-S0923753419331217-main.pdf,Introduction
"Junya Fukuoka, Kishio Kuroda, Tomoi Furukawa, Tomoya Oguri",/science/article/pii/S0923753419328807/pdfft?md5=6c0b0025b30b32667296ba661b9110f0&pid=1-s2.0-S0923753419328807-main.pdf,SL2-1 - The future application of artificial intelligence to pathology diagnosis
Yasushi Okuno,/science/article/pii/S0923753419328819/pdfft?md5=0ff3e4840628ed318385a54e6a73b9e1&pid=1-s2.0-S0923753419328819-main.pdf,SL2-2 - AI technology for precision medicine: current status and future perspectives
Takuhiro Yamaguchi,/science/article/pii/S0923753419329217/pdfft?md5=d4bf4aacc48c1cae86c1cc93ce81aa55&pid=1-s2.0-S0923753419329217-main.pdf,SL3 - Patient-reported outcomes in oncology
Bruce E. Johnson,/science/article/pii/S0923753419328820/pdfft?md5=ba457ee1ffa706725ce4a8832af0a16c&pid=1-s2.0-S0923753419328820-main.pdf,AJS-1 - The impact of 15 years of precision medicine innovation on the treatment of lung cancer
Kohei Shitara,/science/article/pii/S0923753419328832/pdfft?md5=d057e931183fa66985de23cf3a7303a8&pid=1-s2.0-S0923753419328832-main.pdf,AJS-3 - Precision medicine for gastrointestinal cancers
Kentaro Tanaka,/science/article/pii/S0923753419328844/pdfft?md5=e10e00378ecef8ea72c9fc9533bfb53a&pid=1-s2.0-S0923753419328844-main.pdf,AJS-4 - Current Situation of Precision Medicine in Lung Cancer
Chia-Chi Lin,/science/article/pii/S0923753419328856/pdfft?md5=cb8d65379f67f5acbf9903b0e6936a29&pid=1-s2.0-S0923753419328856-main.pdf,AOJS-1 - Roles & opportunities of oncology phase 1 trials in Asia: providing ethnic sensitivity evaluation for Asians/Caucasians
Toshio Shimizu,/science/article/pii/S0923753419328868/pdfft?md5=19c7b8de5b73d4de6d78829f8e9327fd&pid=1-s2.0-S0923753419328868-main.pdf,"AOJS-3 - Practical issues and future perspectives on early phase development in Asia- competition, collaboration and harmonization"
Joohyuk Sohn,/science/article/pii/S092375341932887X/pdfft?md5=5226f17e56e027568cda191e23c73285&pid=1-s2.0-S092375341932887X-main.pdf,AOJS-5 - Investigator initiated clinical trials in Korea; current issues and perspectives focusing in breast cancer trial
Yoon-Sim Yap,/science/article/pii/S0923753419328881/pdfft?md5=d508a76491ac023f55b983ad98df0dbc&pid=1-s2.0-S0923753419328881-main.pdf,AOJS-6 - Issues and perspectives of drug development from Asia; a view from Singapore in breast cancer trials
Jin Li,/science/article/pii/S0923753419329242/pdfft?md5=6d4cf9f8268bd69c066a29cdf638bbe1&pid=1-s2.0-S0923753419329242-main.pdf,AOL-1 - Current situation of CRC treatment in China
Yun Yen,/science/article/pii/S0923753419329254/pdfft?md5=d044a29653bb4088c12c41e9735648e3&pid=1-s2.0-S0923753419329254-main.pdf,AOL-2 - Current status of cancer medicine in Taiwan
Christos S. Karapetis,/science/article/pii/S0923753419329266/pdfft?md5=0efe5b9aea17e54244ee6f3bb78f680b&pid=1-s2.0-S0923753419329266-main.pdf,"AOL-3 - Medical oncology group of Australia: taking a leading role in medical oncology education, patient care & research"
Su Pin Choo,/science/article/pii/S0923753419329278/pdfft?md5=14d64057fae6ee9d2fd940c837fd41c0&pid=1-s2.0-S0923753419329278-main.pdf,AOL-5 - Current situation and perspectives of Medical Oncology in Singapore
Etienne G.C. Brain,/science/article/pii/S0923753419329175/pdfft?md5=eb8e37f85a354a725534730eed35ae39&pid=1-s2.0-S0923753419329175-main.pdf,SJS-1 - All oncologists are geriatric oncologists
Siri Rostoft,/science/article/pii/S0923753419329187/pdfft?md5=a380780901aa44fd2e6a02d0938eba37&pid=1-s2.0-S0923753419329187-main.pdf,SJS-2 - Geriatrics for geriatric oncology
Fumio Nagashima,/science/article/pii/S0923753419329199/pdfft?md5=63c2582b95f7a0512b08ab495af87fe0&pid=1-s2.0-S0923753419329199-main.pdf,SJS-3 - Geriatric oncology in Japan
"Yukari Tsubata, Takeshi Isobe",/science/article/pii/S0923753419329205/pdfft?md5=9b102edfe5d6b30a40c65a217c351276&pid=1-s2.0-S0923753419329205-main.pdf,SJS-5 - The educational system about geriatric oncology in Japan
Daisuke Fujisawa,/science/article/pii/S0923753419329126/pdfft?md5=14d722022368831fd6787996683f6ae1&pid=1-s2.0-S0923753419329126-main.pdf,JS2-4 - How can psycho-oncology work together with oncology and palliative care?
"Keigo Komine, Masanobu Takahashi, Sakura Hiraide, Sho Umegaki, ... Chikashi Ishioka",/science/article/pii/S0923753419329138/pdfft?md5=e6dd1e88ba85a4e1e372f43ef8cf3113&pid=1-s2.0-S0923753419329138-main.pdf,JS4-1 - Three cases of venous thromboembolism in advanced cancer patients
Shinya Kimura,/science/article/pii/S092375341932914X/pdfft?md5=a9fcdcc02a6efcfcfb7023a3de9b04e5&pid=1-s2.0-S092375341932914X-main.pdf,JS4-2 - Molecular targeting agents and cardiovascular adverse events
Taro Shiga,/science/article/pii/S0923753419329151/pdfft?md5=5b155436e6e99ec9f88f228936bc7388&pid=1-s2.0-S0923753419329151-main.pdf,JS4-3 - An overview of cancer-associated thrombosis (CAT)
"Junichi Ishida, Hiroshi Akazawa, Issei Komuro",/science/article/pii/S0923753419329163/pdfft?md5=222a2c6b690f815d87baefd5da1b4820&pid=1-s2.0-S0923753419329163-main.pdf,JS4-5 - Diagnostic and therapeutic strategies for cancer-therapy cardiotoxicity
Josep Tabernero,/science/article/pii/S0923753419328893/pdfft?md5=1af4c35ccb05187e3209e23d613a058d&pid=1-s2.0-S0923753419328893-main.pdf,ISY1-1 - New development strategies of immunotherapy agents for colorectal cancer
Yoon-Koo Kang,/science/article/pii/S092375341932890X/pdfft?md5=3b5c5de5a6d3ec3ef7271b84e1f087ce&pid=1-s2.0-S092375341932890X-main.pdf,ISY1-2 - Immunotherapy for advanced gastric cancer
Yasuhiro Matsumura,/science/article/pii/S0923753419328911/pdfft?md5=50b436413d9bab70f3dc8aa02ca4e0a4&pid=1-s2.0-S0923753419328911-main.pdf,"ISY1-3 - A new colorectal cancer marker, TMEM180 and its preclinical antibody development"
Richard S. Finn,/science/article/pii/S0923753419328923/pdfft?md5=46771f6dfebcf578840011bb0856fdea&pid=1-s2.0-S0923753419328923-main.pdf,ISY2-1 - Molecular targeted therapies for HCC: recent advances and future challenges
Masafumi Ikeda,/science/article/pii/S0923753419328935/pdfft?md5=23697b62f6d149a03a7644cf6dcdb88a&pid=1-s2.0-S0923753419328935-main.pdf,"ISY2-4 - Chemotherapy for advanced hepatocellular carcinoma, Japanese perspective"
Tatsuya Yamashita,/science/article/pii/S0923753419328947/pdfft?md5=fa7a832e895d01f63420e9cfb9d1ddc7&pid=1-s2.0-S0923753419328947-main.pdf,ISY2-5 - Current positioning of hepatic arterial infusion chemotherapy for advanced hepatocellular carcinoma in Japan
Yutaka Yamamoto,/science/article/pii/S0923753419328959/pdfft?md5=16bfff5f560cb79af7e654f1f613012a&pid=1-s2.0-S0923753419328959-main.pdf,ISY3-4 - Issue to be solved in the near future to determine optimal sequential endocrine therapy in metastatic breast cancer
Sebastian Stintzing,/science/article/pii/S0923753419328960/pdfft?md5=87323b27d3514c44613f35af05bf4935&pid=1-s2.0-S0923753419328960-main.pdf,ISY4-1 - Molecular subtype and treatment strategy
Kiwamu Akagi,/science/article/pii/S0923753419328972/pdfft?md5=ae7d56164bdbb8f4712e796c27360969&pid=1-s2.0-S0923753419328972-main.pdf,ISY4-2 - Detection of mismatch repair protein deficient colorectal cancer and hereditary cancer syndrome
Hiroyuki Uetake,/science/article/pii/S0923753419328984/pdfft?md5=87b840670b7eacd9857100402a5a675c&pid=1-s2.0-S0923753419328984-main.pdf,ISY4-3 - Development of oncogene panel for detecting predictive and prognostic factors of metastatic colorectal cancer
Kenji Okami,/science/article/pii/S0923753419328996/pdfft?md5=50dc5f232e983ef66e85af412fc029dc&pid=1-s2.0-S0923753419328996-main.pdf,ISY5-3 - Neoadjuvant and adjuvant immunotherapy in patients undergoing head and neck cancer surgery
Tetsuo Akimoto,/science/article/pii/S092375341932900X/pdfft?md5=5fce07f8081a3c8f58de7a143b42b758&pid=1-s2.0-S092375341932900X-main.pdf,ISY5-4 - Combined radiation therapy and immunotherapy including blockade of immune checkpoint
Brigette Ma,/science/article/pii/S0923753419329011/pdfft?md5=91f59faab26f9d6fde15f2b758ffd806&pid=1-s2.0-S0923753419329011-main.pdf,ISY5-5 - Immunotherapies of nasopharyngeal carcinoma
Koji Matsumoto,/science/article/pii/S0923753419329023/pdfft?md5=0b3ee9bee275f987eb7325e7ef9cb4db&pid=1-s2.0-S0923753419329023-main.pdf,ISY6-4 - Future perspectives of PARP inhibitors in Japan at 2018; challenges and opportunities
Maurice Perol,/science/article/pii/S0923753419329035/pdfft?md5=e506cfa33f206a763591641a7417e9b6&pid=1-s2.0-S0923753419329035-main.pdf,ISY7-2 - Key roles of immune-check inhibitors for first- and second line treatment for advanced NSCLC
Hidehito Horinouchi,/science/article/pii/S0923753419329047/pdfft?md5=f1ac1fb10f66783f29f0c82d987f0ac6&pid=1-s2.0-S0923753419329047-main.pdf,ISY7-3 - Current topics of immune checkpoint inhibitors in perioperative and locally advanced non-small cell lung cancer
Kei Muro,/science/article/pii/S0923753419329059/pdfft?md5=ea4af97dbc0756fa931e7bedc382c27e&pid=1-s2.0-S0923753419329059-main.pdf,ISY8-1 - Pan-Asian adapted ESMO guidelines for the management of patients with metastatic oesophageal and gastric cancer
Takayuki Yoshino,/science/article/pii/S0923753419329060/pdfft?md5=35ec95d871073a2cb0af75e068b62af4&pid=1-s2.0-S0923753419329060-main.pdf,ISY8-2 - Pan-Asian adapted ESMO consensus guidelines for the management of patients with metastatic colorectal cancer ; A JSMO - ESMO initiative
Florian Lordick,/science/article/pii/S0923753419329072/pdfft?md5=8e8bd9abbc42fe609379558fcbb5bed2&pid=1-s2.0-S0923753419329072-main.pdf,ISY8-3 - ESMO guideline of esophago-gastric cancer
Minhee Ryu,/science/article/pii/S0923753419329084/pdfft?md5=009fa8055ff4a3b379419d356d11191a&pid=1-s2.0-S0923753419329084-main.pdf,ISY8-4 - Clinical guideline for gastrointestinal cancers in Korea with focusing on metastatic gastric cancer
Koji Izutsu,/science/article/pii/S0923753419329096/pdfft?md5=9073616be26e8fcd75bbc6900abf9db3&pid=1-s2.0-S0923753419329096-main.pdf,ISY9-1 - Interim PET-CT-adapted treatment for malignant lymphoma
Kazuhito Yamamoto,/science/article/pii/S0923753419329102/pdfft?md5=023fa0d91f94f83c5e7d52517dd6e2d6&pid=1-s2.0-S0923753419329102-main.pdf,ISY9-2 - New therapeutic strategies for mantle cell lymphoma
"Caicun Zhou, Fei Zhou",/science/article/pii/S0923753419329114/pdfft?md5=8af7d584ff7654f00e8a06702bc23607&pid=1-s2.0-S0923753419329114-main.pdf,ISY10-1 - Future perspectives of precision medicine for NSCLC
Kazuhiro Kakimi,/science/article/pii/S0923753419329229/pdfft?md5=f4eedc8f4bd931fd78d7679084250505&pid=1-s2.0-S0923753419329229-main.pdf,SY1-2 - Cancer immunotherapy with autologous γδ T cells
Kiyotaka Yoh,/science/article/pii/S0923753419329230/pdfft?md5=591f80cc0f9359d883e953b7c9474f0d&pid=1-s2.0-S0923753419329230-main.pdf,SY2-4 - Development of targeted therapy for advanced non-small cell lung cancer with rare driver oncogenes as RET or MET
Ken Kato,/science/article/pii/S0923753419331084/pdfft?md5=528a98b2edee956ac031f54d26429441&pid=1-s2.0-S0923753419331084-main.pdf,SY3-1 - Current progress of peri-operative therapy for esophageal cancer
"Torahiko Nakashima, Hideoki Uryu, Tomoya Masuda, Hozumi Shimokawa, Keita Uchino",/science/article/pii/S0923753419331114/pdfft?md5=bf7b8efe2593023c48007659ca243648&pid=1-s2.0-S0923753419331114-main.pdf,SY5-1 - Multidiciplinary treatment for head and neck cancer -surgical oncologist's point of view-
Tomoya Yokota,/science/article/pii/S0923753419331126/pdfft?md5=dee1c76ccd5a13638a88770c810a6f67&pid=1-s2.0-S0923753419331126-main.pdf,SY5-2 - Medical oncology in multidisciplinary approach for head and neck cancer
Takeshi Kodaira,/science/article/pii/S0923753419331138/pdfft?md5=f45ae758219f129a470c8608102ca2c3&pid=1-s2.0-S0923753419331138-main.pdf,SY5-3 - Role of radiotherapy for multidisciplinary treatment of head and neck cancer
Masahiro Sekimizu,/science/article/pii/S092375341933114X/pdfft?md5=c7c28775a4046092ebb860e3bd512979&pid=1-s2.0-S092375341933114X-main.pdf,SY6-3 - Current status and perspective of treatment for adolescents and young adults with lymphoma
Yuji Miura,/science/article/pii/S0923753419331151/pdfft?md5=6f1736fce93c81a6ede0e902286ed2c3&pid=1-s2.0-S0923753419331151-main.pdf,SY7-1 - Immunotherapy for renal cell carcinoma: the differences from melanoma
Ryuhei Okuyama,/science/article/pii/S0923753419331163/pdfft?md5=78bdee3b5fb00d3ebd47dc7083b0edaf&pid=1-s2.0-S0923753419331163-main.pdf,SY7-4 - Systemic therapy for advanced melanoma: current knowledge and future directions
"Kenzo Sonoda, Yasuyuki Fujita, Masahiro Hachisuga, Tatsuhiro Ohgami, Kiyoko Kato",/science/article/pii/S0923753419331175/pdfft?md5=532a651d7bf0685443573fd104528ff7&pid=1-s2.0-S0923753419331175-main.pdf,SY8-1 - Oncological and obstetric management of women diagnosed with cancer during pregnancy: overcoming the challenge
Akihito Kawazoe,/science/article/pii/S092375341933087X/pdfft?md5=9c9fe4879c52b05aa34d541314949a94&pid=1-s2.0-S092375341933087X-main.pdf,SY10-3 - The Nationwide Cancer Genome Screening Project in Japan SCRUM-Japan GI-SCREEN
Kenji Tamura,/science/article/pii/S0923753419330881/pdfft?md5=48859e86dfbce5e6e85d536e9fdfafcc&pid=1-s2.0-S0923753419330881-main.pdf,SY10-4 - Comprehensive screening of target molecules by next-generation sequencing in patients with malignant tumors
"Takayuki Takahama, Kazuko Sakai, Kazuhiko Nakagawa, Kazuto Nishio",/science/article/pii/S0923753419330893/pdfft?md5=b7c80319b7587958054b1e601defb310&pid=1-s2.0-S0923753419330893-main.pdf,SY11-4 - Potential research and clinical utility of liquid biopsy with CAPP seq
"Yoshiaki Nakamura, Takayuki Yoshino",/science/article/pii/S092375341933090X/pdfft?md5=33fdb81868539a659a72777aadbdcd3f&pid=1-s2.0-S092375341933090X-main.pdf,SY11-6 - Nationwide cancer genome screening project utilizing circulating tumor DNA analysis for advanced gastrointestinal cancer
Yasufumi Sato,/science/article/pii/S0923753419330911/pdfft?md5=e0357c3a3cd64f21e5996f0a70e88688&pid=1-s2.0-S0923753419330911-main.pdf,SY13-1 - Vasohibin-2 is a novel molecular target for the treatment of gastrointestinal cancers
Kei Muro,/science/article/pii/S0923753419330923/pdfft?md5=ef9cb59806fbabe40f411d825aa1611b&pid=1-s2.0-S0923753419330923-main.pdf,SY13-3 - Anti-angiogenesis inhibitor combined with immunotherapy for metastatic gastric or gastroesophageal adenocarcinoma
Yasutoshi Kuboki,/science/article/pii/S0923753419330935/pdfft?md5=e60c0aa2254c6d99c212e17e50df225f&pid=1-s2.0-S0923753419330935-main.pdf,SY13-4 - Primary tumor location for angiogenesis inhibitor effectiveness in mCRC
"Masahiro Kizaki, Takayuki Tabayashi",/science/article/pii/S0923753419330947/pdfft?md5=321103705026b6635672d17251334b38&pid=1-s2.0-S0923753419330947-main.pdf,SY15-2 - Advances in therapeutic approaches for multiple myeloma
Kazuyoshi Kato,/science/article/pii/S0923753419330959/pdfft?md5=3bd9274d10dbcdc28c8afdbf54e113ba&pid=1-s2.0-S0923753419330959-main.pdf,SY16-2 - Bevacizumab combined with a taxane and a platinum agent as first-line treatment for advanced-stage ovarian cancer
Maiko Fujimori,/science/article/pii/S0923753419330960/pdfft?md5=063b4826187dc6e296d6cf6beb679074&pid=1-s2.0-S0923753419330960-main.pdf,SY18-1 - Communication skills training for oncologists
Sakiko Fukui,/science/article/pii/S0923753419330972/pdfft?md5=60e887067adb96b997245eac9d30db4a&pid=1-s2.0-S0923753419330972-main.pdf,SY18-2 - Communication skills training for nurses
David Hui,/science/article/pii/S0923753419330984/pdfft?md5=f0fc5c0d5b5c679722a821bf4af19f79&pid=1-s2.0-S0923753419330984-main.pdf,"SY19-2 - Latest advances in palliative cancer care: delirium, dyspnea and decision making"
Michael Feuerstein,/science/article/pii/S0923753419330996/pdfft?md5=9caf173dc814d9b809a9c6d4c316a1ae&pid=1-s2.0-S0923753419330996-main.pdf,"SY20-1 - Cancer survivorship: optimizing quality care, health, function and well-being"
Makiko Suzuki,/science/article/pii/S092375341933100X/pdfft?md5=b04292f201a2635d6ccf645106113c00&pid=1-s2.0-S092375341933100X-main.pdf,SY20-5 - Efforts of peer support activities by cancer survivors
Yoichi Naito,/science/article/pii/S0923753419331011/pdfft?md5=43cded5dd96eeb329a63b8bb0b051eb5&pid=1-s2.0-S0923753419331011-main.pdf,SY21-1 - Future directions of soft tissue sarcoma
Shigeaki Suzuki,/science/article/pii/S0923753419331023/pdfft?md5=eb5f6aa7e484f22a1fc1bfdb113fae9b&pid=1-s2.0-S0923753419331023-main.pdf,SY23-5 - Immune checkpoint inhibitors and neuromuscular adverse events
Yoshiyuki Majima,/science/article/pii/S0923753419331035/pdfft?md5=caea35f7e56e3ee626b47dc19a388744&pid=1-s2.0-S0923753419331035-main.pdf,SY25-5 - Patients expectation for drug discovery development targeting rare cancers
"Rie Sugimoto, Yosifusa Aratake, Takeshi Senjyu, You Yasumori, ... Masayuki Furukawa",/science/article/pii/S0923753419331047/pdfft?md5=94fddc6cae7d19a5ef8badae0ce30fd3&pid=1-s2.0-S0923753419331047-main.pdf,"SY26-2 - Does clinical features, treatment, and prognosis of elderly hepatocellular carcinoma differ from those of young people?"
Hiroko Masuda,/science/article/pii/S0923753419331187/pdfft?md5=a7fe58c7ef33697892365c7100f095a6&pid=1-s2.0-S0923753419331187-main.pdf,SY27-2 - The development of TNBC treatment through overcoming heterogeneity
Fumikata Hara,/science/article/pii/S0923753419331199/pdfft?md5=8bbb7f383ac38301bf000edcf123405d&pid=1-s2.0-S0923753419331199-main.pdf,SY27-4 - Current standard and future perspectives in the post-operative treatment of triple negative breast cancer
Toshimi Takano,/science/article/pii/S0923753419331205/pdfft?md5=ed48862ea88d16edf6b19b2859cbcbd9&pid=1-s2.0-S0923753419331205-main.pdf,SY27-5 - Therapeutic strategies for metastatic triple negative breast cancer
"Fuyuhiko Motoi, Michiaki Unno",/science/article/pii/S0923753419331059/pdfft?md5=d4c7a65b807096b93f76f7459f6d2447&pid=1-s2.0-S0923753419331059-main.pdf,SY28-2 - Multidisciplinary Treatment for Pancreatic Cancer: Conversion Surgery for Initially Unresectable Pancreatic Cancer
Yoshiyuki Majima,/science/article/pii/S0923753419331060/pdfft?md5=d5c049c93809f7078c6f977a042dd796&pid=1-s2.0-S0923753419331060-main.pdf,SY28-5 - What patients expect from upcoming pancreatic cancer therapy
Kokichi Sugano,/science/article/pii/S0923753419331072/pdfft?md5=b8325cba6bab22f13ead516d13572808&pid=1-s2.0-S0923753419331072-main.pdf,SY29-4 - Genomic medicine and hereditary cancer
Harumasa Nakamura,/science/article/pii/S0923753419331096/pdfft?md5=a338d1e872334f37a8c5dc2e60ca32e9&pid=1-s2.0-S0923753419331096-main.pdf,SY30-1 - Promotion and challenges of Development for Orphan Drugs in Japan
Kenji Ishitsuka,/science/article/pii/S0923753419331102/pdfft?md5=72f2049b7929e103db34a5c60ce2f07a&pid=1-s2.0-S0923753419331102-main.pdf,SY30-3 - The difficulty in establishing clinical evidence of extremely-rare hematological malignancies
Tetsuhide Ito,/science/article/pii/S092375341932928X/pdfft?md5=a21869c2fcd396d70d6442d9e3d82ffb&pid=1-s2.0-S092375341932928X-main.pdf,EL4 - An update on the diagnosis and management of gastroenteropancreatic neuroendocrine tumors
Masahiro Kizaki,/science/article/pii/S0923753419329291/pdfft?md5=3c3e565b910df3c6329aa1b6b0cceb45&pid=1-s2.0-S0923753419329291-main.pdf,EL8 - Next-generation therapy for multiple myeloma
Masanobu Takahashi,/science/article/pii/S0923753419329308/pdfft?md5=7ebd2d674b5942b7ac64e60438f8a173&pid=1-s2.0-S0923753419329308-main.pdf,EL24 - Managements of oncologic emergency occurred in patients with advanced cancer
Yasuhito Fujisaka,/science/article/pii/S092375341932931X/pdfft?md5=2ccc869deecc2ce348d0def07cd518bb&pid=1-s2.0-S092375341932931X-main.pdf,EL25 - Management of Immune-Related Adverse Events
Jiichiro Sasaki,/science/article/pii/S0923753419329321/pdfft?md5=c46fa0f3b2747295c58d186a5f3b48e2&pid=1-s2.0-S0923753419329321-main.pdf,EL26 - The role of the regional cancer care critical paths to establish a regional medical network
Kota Katanoda,/science/article/pii/S0923753419329333/pdfft?md5=e53f2025f4064e1f7d4429f068436515&pid=1-s2.0-S0923753419329333-main.pdf,ACP-1 - Scientific evidence on secondhand smoke exposure
Takuya Iwamoto,/science/article/pii/S0923753419329345/pdfft?md5=87f675665be961cf88872d2eb56959ab&pid=1-s2.0-S0923753419329345-main.pdf,MP2-1 - Present status and problem of robotic preparation for anticancer infusion drugs in Mie University Hospital
"Junko Kuroda, Yuusuke Tashiro, Noriko Kitou, Takuya Morikawa, ... Kazunori Kimura",/science/article/pii/S0923753419329357/pdfft?md5=3a2ebd306c62f043d74382d4e323fc25&pid=1-s2.0-S0923753419329357-main.pdf,MP2-2 - Seamless environment of antineoplastic drugs preparation combining robotic system and isolators
"Kohei Shitara, Kei Muro, Taroh Satoh, Takao Tamura, ... Atsushi Ohtsu",/science/article/pii/S0923753419329369/pdfft?md5=986bb0a8cbe20327e903eafc36d2fb57&pid=1-s2.0-S0923753419329369-main.pdf,PS-4 - KEYNOTE-061: pembrolizumab vs paclitaxel for previously treated advanced gastric or gastroesophageal junction cancer
"Maki Tanioka, Joel S. Parker, Lynn N. Henry, Sara Tolaney, ... Charles M. Perou",/science/article/pii/S0923753419329370/pdfft?md5=4ebe8f76881ed4dbb1aa366ba9bfcf91&pid=1-s2.0-S0923753419329370-main.pdf,SPS-3 - A prognostic model integrating clinical data and gene signatures in phase III neoadjuvant trial CALGB 40601 (Alliance)
"Takayuki Takahama, Koichi Azuma, Mototsugu Shimokawa, Terufumi Kato, ... Kazuhiko Nakagawa",/science/article/pii/S0923753419329382/pdfft?md5=63ea31b9d1cc9b9240998236e2c26b2e&pid=1-s2.0-S0923753419329382-main.pdf,"SPS-4 - Phase II study of osimertinib in patients with plasma , T790M positive advanced lung cancer (WJOG8815L/LPS)"
"Junji Furuse, Satoru Hamauchi, Toshimi Takano, Yoshinori Munemoto, ... Kazuo Tamura",/science/article/pii/S0923753419329394/pdfft?md5=94114577bdea6ac5ddcd2a879247022b&pid=1-s2.0-S0923753419329394-main.pdf,"SPS-9 - A multicenter, open-label, uncontrolled study of ONO-7643/anamorelin in cachexia patients with gastrointestinal cancer"
"Kei Muro, Yasunori Emi, Takeharu Yamanaka, Hiroyuki Uetake, ... Yoshihiko Maehara",/science/article/pii/S0923753419329400/pdfft?md5=999154b212c258b8264d0ce388dd108b&pid=1-s2.0-S0923753419329400-main.pdf,"O1-2-3 - ATOM trial: a randomized phase II study of mFOLFOX6+Bmab vs. mFOLFOX6+Cmab for not-optimary resectable , wt mCRC"
"Takeshi Kato, Yoshinori Kagawa, Mitsuyoshi Ota, Akitaka Makiyama, ... Kei Muro",/science/article/pii/S0923753419329412/pdfft?md5=2c1ff6f5ae95a84926dd485c8ac55ea6&pid=1-s2.0-S0923753419329412-main.pdf,O1-2-4 - Global phase III trial of comparing mXELIRI+BV vs FOLFIRI+Bmab for 2nd line mCRC (AXEPT) Japanese population analysis
"Terufumi Kato, Nobuyuki Yamamoto, Masahiko Ozaki, Masahiro Hamada, ... Mitsuyoshi Hara",/science/article/pii/S0923753419329424/pdfft?md5=16c4374c3854d49106abb7b28b46ecf7&pid=1-s2.0-S0923753419329424-main.pdf,O1-3-1 - Safety and effectiveness of pembrolizumab monotherapy in NSCLC: Interim analysis of Japan postmarketing surveillance
"K. Betcher, S. Lowitz","https://doi.org/10.1016/S0167-8140(15)41679-2,/article/S0167-8140(15)41679-2/pdf",EP-1687: Improving safety culture through incident reporting
"V. Zager, A. Okljesa Lukic, N. Bizjak Matosec","https://doi.org/10.1016/S0167-8140(15)41680-9,/article/S0167-8140(15)41680-9/pdf",EP-1688: Development and evaluation of the educational process of radiation therapy in Slovenia
"L. Mula-Hussain, A. Shamsaldin, Z. Ramzi, L. Alrudainy, A. Ahmed, N. Noori, K. Faraj, Z. Ahmed, M. Mohammed, M.D. Hughson","https://doi.org/10.1016/S0167-8140(15)41681-0,/article/S0167-8140(15)41681-0/pdf",EP-1689: Establishing postgraduate study program in radiation oncology in a war-torn country ñ The Iraqi experience
"L.G. Sapienza, M.L. Sucharski Figueiredo, M.J. Chen, A.C.A. Pellizzon","https://doi.org/10.1016/S0167-8140(15)41682-2,/article/S0167-8140(15)41682-2/pdf","EP-1690: Analysis of logbook in an educational institution and comparison with ASTRO, ESTRO and CNRM requirements"
,"https://doi.org/10.1016/S0167-8140(15)34012-3,/article/S0167-8140(15)34012-3/pdf",Authors Index
